id,trax_name,brand,零眸SKU
1378,魔爪超越摩登罐330(24)整箱,魔爪,堆头_魔爪超越高罐装330毫升_纸箱24罐
2262,红牛能量饮料维生素功能纸板箱24包x 250毫升,红牛,堆头_红牛维生素功能饮料罐装250毫升_纸箱24罐
725,雀巢（Nestle） 咖啡（丝滑拿铁）瓶装 268ml 3联包,雀巢咖啡,堆头_雀巢咖啡丝滑拿铁瓶装268毫升_便携式3瓶
2274,美汁源三重果粒橙橙汁饮料裹塑12瓶 x 1 l,美汁源,堆头_美汁源三重果粒橙瓶装1000毫升_彩塑12瓶
1391,美汁源果粒橙12X1.25升开箱,美汁源,堆头_美汁源果粒橙瓶装1250毫升_纸箱12瓶
2692,美汁源果粒橙12瓶X420毫升整箱,美汁源,堆头_美汁源果粒橙瓶装420毫升_纸箱12瓶
2693,美汁源果粒橙24瓶X420毫升整箱,美汁源,堆头_美汁源果粒橙瓶装420毫升_纸箱24瓶
2272,美汁源爽粒花语槐花风味葡萄汁饮料裹塑12瓶 x 420 毫升,美汁源,堆头_美汁源爽粒花语白葡萄槐花瓶装420毫升_彩塑12瓶
555,美汁源果粒橙12X1.25L整箱),美汁源,堆头_美汁源果粒橙瓶装1250毫升_纸箱12瓶
467,美汁源果粒橙开箱 1.8L*6,美汁源,堆头_美汁源果粒橙瓶装1800毫升_纸箱6瓶
468,美汁源果粒橙封闭箱 1.8L*6,美汁源,堆头_美汁源果粒橙瓶装1800毫升_纸箱6瓶
499,美汁源果粒橙整箱12X450ml,美汁源,堆头_美汁源果粒橙瓶装450毫升_纸箱12瓶
628,美汁源粒橙塑料 12X300ml整箱,美汁源,堆头_美汁源果粒橙瓶装300毫升_纸箱12瓶
645,美汁源果粒橙450ML（24）整箱,美汁源,堆头_美汁源果粒橙瓶装450毫升_纸箱24瓶
1735,正宗椰树椰汁纸板箱24 x 245ml,正宗椰树,堆头_椰树椰汁罐装245毫升_纸箱24罐
1045,汇源100％橙汁紙箱12 * 200毫升,汇源,堆头_汇源100%橙汁盒装200毫升_纸箱12盒
2348,汇源果汁早啊100%复合果蔬汁箱装4盒x 1升,汇源,堆头_汇源早啊100%复合果蔬汁盒装1000毫升_纸箱4盒
954,匯源鮮桃果汁200毫升x 12,汇源,堆头_汇源100%桃汁盒装200毫升_纸盒12盒
639,酷儿橙300ML（12）整箱,酷儿果汁,堆头_酷儿橙味瓶装300毫升_纸箱12瓶
1492,娃哈哈爽歪歪酸奶饮料纸盒24盒装200毫升,娃哈哈爽歪歪,堆头_娃哈哈爽歪歪营养酸奶饮品瓶装200克_纸箱24瓶
1493,娃哈哈锌爽歪歪儿童饮料纸板盒24包x 200毫升,娃哈哈爽歪歪,堆头_娃哈哈锌爽歪歪营养酸奶饮品瓶装200克_纸箱24瓶
286,娃哈哈锌爽歪歪营养酸奶饮品4x125ML,娃哈哈爽歪歪,堆头_娃哈哈锌爽歪歪瓶装125克_塑料膜4瓶
288,娃哈哈锌爽歪歪营养酸奶饮品4x200ML,娃哈哈爽歪歪,堆头_娃哈哈锌爽歪歪瓶装200毫升_塑料膜4瓶
287,娃哈哈爽歪歪营养酸奶饮品4x200ML,娃哈哈爽歪歪,堆头_娃哈哈爽歪歪营养酸奶饮品瓶装200克_塑料膜4瓶
2660,旺仔牛奶箱装125毫升 x20盒,旺仔牛奶,堆头_旺仔牛奶盒装125毫升_纸箱20盒
2662,旺仔牛奶裹塑125毫升 x4盒,旺仔牛奶,堆头_旺仔牛奶盒装125毫升_塑料膜4盒
2661,王子牛奶O泡果奶味饮料裹塑125毫升 x4盒,旺仔牛奶,堆头_旺旺O泡果奶味饮料原味盒装125毫升_塑料膜4盒
1276,娃哈哈AD钙牛奶100ML x 5,娃哈哈AD钙奶,堆头_娃哈哈AD钙奶瓶装100克_塑料膜5瓶
289,娃哈哈原味AD钙奶6x100ML,娃哈哈AD钙奶,堆头_娃哈哈AD钙奶瓶装100克_塑料膜6瓶
290,娃哈哈AD钙奶4x220ML,娃哈哈AD钙奶,堆头_娃哈哈AD钙瓶装220毫升_塑料膜4瓶
1390,美汁源果粒奶优椰子450（15）整箱,果粒奶优,堆头_美汁源果粒奶优椰子味瓶装450毫升_纸箱15瓶
1722,美汁源果粒奶优香蕉味纸板盒15包X 450毫升,果粒奶优,堆头_美汁源果粒奶优香蕉味瓶装450毫升_纸箱15瓶
109,美汁源果粒奶优草莓纸包250克(12)-礼盒装,果粒奶优,堆头_美汁源果粒奶优草莓味盒装250毫升_纸箱12瓶
480,美汁源果粒奶优芒果15x450g密封箱,果粒奶优,堆头_美汁源果粒奶优芒果味瓶装450毫升_纸箱15瓶
473,美汁源果粒奶优原味15x450g开箱,果粒奶优,堆头_美汁源果粒奶优原味瓶装450毫升_纸箱15瓶
474,美汁源果粒奶优原味15x450g密封箱,果粒奶优,堆头_美汁源果粒奶优原味瓶装450毫升_纸箱15瓶
475,美汁源果粒奶优菠萝15x450g密封箱,果粒奶优,堆头_美汁源果粒奶优菠萝味瓶装450毫升_纸箱15瓶
476,美汁源果粒奶优菠萝15x450g开箱,果粒奶优,堆头_美汁源果粒奶优菠萝味瓶装450毫升_纸箱15瓶
477,美汁源果粒奶优草莓15x450g密封箱,果粒奶优,堆头_美汁源果粒奶优草莓味瓶装450毫升_纸箱15瓶
478,美汁源果粒奶优草莓15x450g开箱,果粒奶优,堆头_美汁源果粒奶优草莓味瓶装450毫升_纸箱15瓶
479,美汁源果粒奶优水蜜桃15x450g密封箱,果粒奶优,堆头_美汁源果粒奶优蜜桃味瓶装450毫升_纸箱15瓶
525,水动乐橙味15x600ML未开箱,水动乐,堆头_水动乐橙味瓶装600毫升_纸箱15瓶
526,水动乐橙味15x600ML开箱,水动乐,堆头_水动乐橙味瓶装600毫升_纸箱15瓶
527,水动乐柠檬味15x600ML未开箱,水动乐,堆头_水动乐柠檬味瓶装600毫升_纸箱15瓶
528,水动乐柠檬味15x600ML开箱,水动乐,堆头_水动乐柠檬味瓶装600毫升_纸箱15瓶
529,水动乐桃味15x600ML未开箱,水动乐,堆头_水动乐桃味瓶装600毫升_纸箱15瓶
530,水动乐桃味15x600ML开箱,水动乐,堆头_水动乐桃味瓶装600毫升_纸箱15瓶
531,水动乐西柚味15x600ML未开箱,水动乐,堆头_水动乐西柚味瓶装600毫升_纸箱15瓶
532,水动乐西柚味15X600ml开箱,水动乐,堆头_水动乐西柚味瓶装600毫升_纸箱15瓶
2347,佳得乐柠檬味运动饮料箱装15瓶x 600毫升,佳得乐,堆头_佳得乐柠檬味运动饮料瓶装600毫升_纸箱15瓶
2345,佳得乐橙味运动饮料箱装15瓶x 600毫升,佳得乐,堆头_佳得乐橙味运动饮料瓶装600毫升_纸箱15瓶
2344,佳得乐蓝莓味运动饮料箱装15瓶x 600毫升,佳得乐,堆头_佳得乐蓝莓味运动饮料瓶装600毫升_纸箱15瓶
2346,佳得乐西柚味运动饮料箱装15瓶x 600毫升,佳得乐,堆头_佳得乐西柚味运动饮料瓶装600毫升_纸箱15瓶
632,美汁源植场新人椰子汁植物蛋白饮料CAN 240ml（12）整箱,植场新人,堆头_美汁源植场新人椰子汁罐装240毫升_纸箱12罐
633,美汁源植场新人芝麻核桃复合蛋白饮料CAN 240ml（12）整箱,植场新人,堆头_美汁源植场新人芝麻核桃罐装240毫升_纸箱12罐
2651,维他奶低糖原味豆奶箱装250毫升 x16盒,维他奶,堆头_维他奶vitasoy低糖原味豆奶盒装250毫升_纸箱16盒
2649,维他奶原味豆奶箱装250毫升 x16盒,维他奶,堆头_维他奶vitasoy原味豆奶盒装250毫升_纸箱16盒
2650,维他奶原味豆奶箱装250毫升 x24盒,维他奶,堆头_维他奶vitasoy原味豆奶盒装250毫升_纸箱24盒
2645,维他奶巧克力味豆奶饮料箱装250毫升 x24盒,维他奶,堆头_维他奶vitasoy巧克力味豆奶盒装250毫升_纸箱24盒
2654,维他奶香草味豆奶饮料箱装250毫升 x24盒,维他奶,堆头_维他奶vitasoy香草味豆奶盒装250毫升_纸箱24盒
2593,维他奶香草味豆奶饮料裹塑250毫升 x6盒,维他奶,堆头_维他奶vitasoy香草味豆奶盒装250毫升_塑料膜6盒
2666,银鹭红枣花生牛奶箱装450毫升 x15瓶,银鹭,堆头_银鹭红枣花生牛奶复合蛋白饮品瓶装450毫升_纸箱15瓶
2664,银鹭红枣花生牛奶箱装500毫升 x15瓶,银鹭,堆头_银鹭红枣花生牛奶复合蛋白饮品瓶装500毫升_纸箱15瓶
2673,银鹭红豆花生牛奶箱装250毫升 x16盒,银鹭,堆头_银鹭红豆花生牛奶复合蛋白饮品盒装250毫升_纸箱16盒
2672,银鹭红豆花生牛奶箱装450毫升 x15瓶,银鹭,堆头_银鹭红豆花生牛奶复合蛋白饮品瓶装450毫升_纸箱15瓶
2669,银鹭花生牛奶箱装250毫升 x16盒,银鹭,堆头_银鹭花生牛奶复合蛋白饮品盒装250毫升_纸箱16盒
2676,银鹭花生牛奶箱装500毫升 x15瓶,银鹭,堆头_银鹭花生牛奶复合蛋白饮料瓶装500毫升_纸箱15瓶
2668,银鹭薏仁花生牛奶箱装450毫升 x15瓶,银鹭,堆头_银鹭薏仁花生牛奶复合蛋白饮品瓶装450毫升_纸箱15瓶
1359,可口可乐原味2L（整箱）(6支装),可口可乐,堆头_可口可乐瓶装2000毫升_纸箱6瓶
2382,可口可乐纤维+塑料瓶500毫升x12,可口可乐,堆头_可口可乐纤维+零糖瓶装500毫升_彩塑12瓶
2269,可口可乐罐装裹塑4罐 x 330 毫升,可口可乐,堆头_可乐罐装330毫升_塑料膜4罐
708,可口可乐迷你摩登罐 12x200毫升,可口可乐,堆头_可口可乐罐装200毫升_纸箱12罐
566,可口可乐12x300ML彩膜整箱,可口可乐,堆头_可乐瓶装300毫升_彩塑12瓶
985,可口可乐摩登罐整箱24x330ml,可口可乐,堆头_可口可乐高罐装330毫升_礼盒24罐
550,可口可乐原味CAN（24x330ml 整箱）,可口可乐,堆头_可乐罐装330毫升_纸箱24罐
115,可口可乐塑料瓶 4x600毫升,可口可乐,堆头_可口可乐瓶装600毫升_塑料膜4瓶
2270,可口可乐零度迷你罐箱装12罐 x 200 毫升,可口可乐零度,堆头_可口可乐零度罐装200毫升_纸箱12罐
2271,芬达橙味汽水迷你罐箱装12罐 x 200 毫升,芬达,堆头_芬达橙味罐装200毫升_纸箱12罐
2268,百事可乐罐装裹塑6罐 x 330 毫升,百事可乐,堆头_百事可乐罐装330毫升_塑料膜6罐
1737,七喜柠檬裹敷塑料12包X 500毫升,七喜,堆头_七喜冰爽柠檬味瓶装600毫升_塑料膜12瓶
918,7喜2 l x 8,七喜,堆头_七喜冰爽柠檬味瓶装2000毫升_塑料膜8瓶装
1348,雪碧檸檬6 x 2l,雪碧,堆头_雪碧瓶装2000毫升_塑料膜6瓶
481,雪碧PET8x2L箱,雪碧,堆头_雪碧瓶装2000毫升_塑料膜8瓶
709,雪碧迷你摩登罐 12x200ml毫升,雪碧,堆头_雪碧清爽柠檬味罐装200毫升_纸箱12罐
567,雪碧12x300ML彩膜整箱,雪碧,堆头_雪碧瓶装300毫升_彩塑12瓶
116,雪碧塑料瓶 4x600毫升,雪碧,堆头_雪碧瓶装600毫升_塑料膜4瓶
19,雪碧塑料888毫升(12),雪碧,堆头_雪碧瓶装888毫升_塑料膜12瓶
737,屈臣氏 无糖 苏打水330ml x 24听苏打汽水 整箱 欢迎团购,屈臣氏,堆头_Watsons屈臣氏苏打汽水罐装330毫升_纸箱24瓶
2616,和其正清凉茶饮料箱装1.5升 x6瓶,和其正,堆头_和其正凉茶瓶装1500毫升_纸箱6瓶
2614,和其正清凉茶饮料箱装550毫升 x15瓶,和其正,堆头_和其正凉茶瓶装550毫升_纸箱15瓶
2615,和其正清凉茶饮料箱装600毫升 x15瓶,和其正,堆头_和其正凉茶瓶装600毫升_纸箱15瓶
2634,天喔茶庄蜂蜜红枣茶箱装500毫升 x15瓶,天喔茶庄茶,堆头_天喔茶庄蜂蜜红枣茶瓶装500毫升_纸箱15瓶
2632,天喔茶庄蜂蜜雪梨茶箱装500毫升 x15瓶,天喔茶庄茶,堆头_天喔茶庄蜂蜜雪梨茶瓶装500毫升_纸箱15瓶
1762,康师傅绿茶蜂蜜茉莉花纸板盒15包X 500毫升,康师傅茶,堆头_康师傅绿茶低糖瓶装500毫升_纸箱15瓶
907,康師傅綠茶（裹塑）550ML X 6,康师傅茶,堆头_康师傅绿茶低糖瓶装500毫升_塑料膜6瓶
1749,统一小茗同学冷泡冰橘绿茶纸箱15包装X 480毫升,统一小茗同学,堆头_统一小茗同学冷泡冰橘绿茶瓶装480毫升_纸箱15瓶
1750,统一小茗同学冷泡溜溜哒茶纸箱15包装X 480毫升,统一小茗同学,堆头_统一小茗同学冷泡溜溜哒茶瓶装480毫升_纸箱15瓶
1814,阳光经典柠檬茶味饮料250mlx6康美包,阳光,堆头_可口可乐阳光经典柠檬茶盒装250毫升_塑料膜6盒
1815,阳光菊花茶味饮料250mlx6康美包,阳光,堆头_可口可乐阳光菊花茶盒装250毫升_塑料膜6盒
2265,淳茶舍玉暮红茶无糖调味茶饮料纸板箱12瓶 x 480 毫升,淳茶舍,堆头_淳茶舍玉暮红茶瓶装480毫升_纸箱12瓶
1720,淳茶舍玉露绿茶无糖纸板盒12个装X 480毫升,淳茶舍,堆头_淳茶舍玉露绿茶瓶装480毫升_纸箱12瓶
2266,淳茶舍铁观音乌龙无糖原味无纸板箱12瓶 x 480 毫升,淳茶舍,堆头_淳茶舍铁观音乌龙瓶装480毫升_纸箱12瓶
2285,康师傅炼乳奶茶箱装15瓶 x 500 毫升,康师傅奶茶,堆头_康师傅炼乳奶茶瓶装500毫升_纸箱15瓶
2335,统一冰红茶柠檬味调味茶饮料箱装6瓶 X 2升,统一茶,堆头_统一冰红茶柠檬味瓶装2000毫升_纸箱6瓶
1494,统一奶茶巧克力味纸板盒24包x 250毫升,统一奶茶,堆头_统一奶茶巧克力口味盒装250毫升_纸箱24盒
1491,统一奶茶草莓味纸板盒24包x 250毫升,统一奶茶,堆头_统一奶茶草莓口味盒装250毫升_纸箱24盒
1510,娃哈哈冰红茶 纸板盒12包x 500毫升,娃哈哈茶,堆头_娃哈哈冰红茶柠檬味瓶装500毫升_纸箱12瓶
915,农夫山泉天然水（裹塑）1500ML X 12,农夫山泉水,堆头_农夫山泉饮用天然水瓶装1500毫升_塑料膜12瓶
912,农夫山泉天然水（裹塑) 380ML X 12,农夫山泉水,堆头_农夫山泉饮用天然水瓶装380毫升_塑料膜12瓶
913,农夫山泉天然水（裹塑）550ML X 12,农夫山泉水,堆头_农夫山泉饮用天然水瓶装550毫升_塑料膜12瓶
909,农夫山泉天然水（裹塑）550ML X 28,农夫山泉水,堆头_农夫山泉饮用天然水瓶装550毫升_塑料膜28瓶
1757,康师傅优悦饮用水包裹塑料24包X 550毫升,康师傅优悦,堆头_康师傅优悦饮用纯净水瓶装550毫升_塑料膜24瓶
2622,康师傅优悦饮用纯净水箱装装380毫升 x24瓶,康师傅优悦,堆头_康师傅优悦饮用纯净水瓶装380毫升_纸箱24瓶
2603,怡宝纯净水包裹塑料12包x 555毫升,怡宝,堆头_怡宝饮用纯净水瓶装555毫升_彩塑12瓶
2602,怡宝纯净水箱装1.555升 x12支,怡宝,堆头_怡宝饮用纯净水瓶装1555毫升_纸箱12瓶
2585,怡宝纯净水箱装555毫升x24瓶,怡宝,堆头_怡宝饮用纯净水瓶装555毫升_纸箱24瓶
2610,景田饮用纯净水箱装360毫升 x24瓶,百岁山,堆头_景田饮用纯净水瓶装360毫升_彩塑24瓶
2586,景田饮用纯净水裹塑360毫升 x12瓶,百岁山,堆头_景田饮用纯净水瓶装360毫升_彩塑12瓶
2604,百岁山饮用天然矿泉水箱装348毫升 x24瓶,百岁山,堆头_景田百岁山饮用天然矿泉水瓶装348毫升_纸箱24瓶
2605,百岁山饮用天然矿泉水裹塑348毫升 x6瓶,百岁山,堆头_景田百岁山饮用天然矿泉水瓶装348毫升_彩塑6瓶
2597,纯水乐饮用纯净水裹塑550毫升 x12瓶,纯水乐,堆头_百事纯水乐饮用纯净水瓶装550毫升_彩塑12瓶
2584,纯水乐饮用纯净水裹塑550毫升 x24瓶,纯水乐,堆头_百事纯水乐饮用纯净水瓶装550毫升_彩塑24瓶
2598,纯水乐饮用纯净水裹敷塑料24包x 350毫升,纯水乐,堆头_百事纯水乐饮用纯净水瓶装350毫升_彩塑24瓶
2639,统一爱夸饮用天然矿泉水裹塑570毫升 x6瓶,统一水,堆头_爱夸饮用天然矿泉水瓶装570毫升_彩塑6瓶
620,冰露纯悦包装饮用水 1.5L(12)整箱,冰露,堆头_冰露纯悦瓶装1500毫升_纸箱12瓶
636,冰露矿物质水轻量1.5(12)整箱,冰露,堆头_冰露饮用水瓶装1500毫升_纸箱12瓶
597,冰露纯悦塑料550(24)整箱,冰露,堆头_冰露纯悦瓶装550毫升_纸箱24瓶
612,冰露纯净水塑料550(24)整箱,冰露,堆头_冰露纯净水瓶装550毫升_纸箱24瓶
618,冰露纯悦塑料550(12)整箱,冰露,堆头_冰露纯悦瓶装550毫升_纸箱12瓶
762,冰露纯悦塑料550(24)开箱,冰露,堆头_冰露纯悦瓶装550毫升_纸箱24瓶
637,冰露矿物质水轻量550(12)整箱,冰露,堆头_冰露饮用水瓶装550毫升_纸箱12瓶
638,冰露矿物质水轻量550(24)整箱,冰露,堆头_冰露饮用水瓶装550毫升_纸箱24瓶
533,冰露纯悦水未开箱(550毫升x24),冰露,堆头_冰露纯悦瓶装550毫升_纸箱24瓶
534,冰露纯悦水开箱(550毫升x24),冰露,堆头_冰露纯悦瓶装550毫升_纸箱24瓶
644,冰露纯悦塑料800ML(12)整箱,冰露,堆头_冰露纯悦瓶装800毫升_纸箱12瓶
1756,康师傅饮用水包裹塑料12包装X 550 ml,康师傅水,堆头_康师傅包装饮用水瓶装550毫升_彩塑12瓶
1758,康师傅饮用水包裹塑料8包X 1.5 l,康师傅水,堆头_康师傅包装饮用水瓶装1500毫升_彩塑8瓶
1731,娃哈哈纯净水包裹塑料12包装X 596毫升,娃哈哈水,堆头_娃哈哈饮用纯净水瓶装596毫升_彩塑12瓶
1747,海之言海盐卡曼橘纸板盒15包X 500毫升,统一海之言,堆头_统一海之言海盐卡曼橘瓶装500毫升_纸箱15瓶
1746,海之言海盐柠檬纸盒15片装X 500毫升,统一海之言,堆头_统一海之言柠檬瓶装500毫升_纸箱15瓶
